stage_id,stage_date,stage_start,stage_finish,stage_distance,stage_type, race_id
1,2018-07-07,Noirmoutier-en-l'Île,Fontenay-le-Comte,201,Flat stage,1
2,2018-07-08,Mouilleron-Saint-Germain,La Roche-sur-Yon,182.5,Flat stage,1
3,2018-07-09,Cholet,Cholet,35.5,Team time trial,1
4,2018-07-10,La Baule,Sarzeau,195,Flat stage,1
5,2018-07-11,Lorient,Quimper,204.5,Hilly stage,1
6,2018-07-12,Brest,Mûr-de-Bretagne,181,Hilly stage,1
7,2018-07-13,Fougères,Chartres,231,Flat stage,1
8,2018-07-14,Dreux,Amiens,181,Flat stage,1
9,2018-07-15,Arras,Roubaix,156.5,Hilly stage,1
10,2018-07-17,Annecy,Le Grand-Bornand,158.5,Mountain stage,1
11,2018-07-18,Albertville,La Rosière,108.5,Mountain stage,1
12,2018-07-19,Bourg-Saint-Maurice,Alpe d'Huez,175.5,Mountain stage,1
13,2018-07-20,Le Bourg-d'Oisans,Valence,169.5,Flat stage,1
14,2018-07-21,Saint-Paul-Trois-Châteaux,Mende,188,Hilly stage,1
15,2018-07-22,Millau,Carcassonne,181.5,Hilly stage,1
16,2018-07-24,Carcassonne to Bagnères-de-Luchon,,218,Mountain,1
17,2018-07-25,Bagnères-de-Luchon,Saint-Lary-Soulan (Col de Portet),65,Mountain stage,1
18,2018-07-26,Trie-sur-Baïse,Pau,171,Flat,1
19,2018-07-27,Lourdes,Laruns,200.5,Mountain stage,1
20,2018-07-28,Saint-Pée-sur-Nivelle,Espelette,31,Individual time trial,1
21,2018-07-29,Houilles,Paris (Champs-Élysées),116,Flat stage,1